name,bitdepth,rmse,psnr,compressed_size,bpp,compression_ratio,ssim
I25_q30_rec,16,922.514,37.03,47113,1.4378,11.13,
I25_q60_rec,16,922.5316,37.03,33873,1.0337,15.48,
I260_q10_rec,16,1.7416,91.51,67956,2.0739,7.72,
I260_q30_rec,16,4.1494,83.97,38949,1.1886,13.46,
I260_q60_rec,16,7.0877,79.32,26467,0.8077,19.81,
I261_q10_rec,16,1.7493,91.47,68008,2.0754,7.71,
I261_q30_rec,16,4.1648,83.94,39320,1.2,13.33,
I261_q60_rec,16,7.0921,79.31,26713,0.8152,19.63,
I262_q10_rec,16,1.7419,91.51,68096,2.0781,7.7,
I262_q30_rec,16,4.1555,83.96,39076,1.1925,13.42,
I262_q60_rec,16,7.0871,79.32,26574,0.811,19.73,
I263_q10_rec,16,1.7459,91.49,67941,2.0734,7.72,
I263_q30_rec,16,4.1684,83.93,39104,1.1934,13.41,
I263_q60_rec,16,7.0811,79.33,26450,0.8072,19.82,
I264_q10_rec,16,1.7485,91.48,68004,2.0753,7.71,
I264_q30_rec,16,4.1636,83.94,39100,1.1932,13.41,
I264_q60_rec,16,7.0717,79.34,26565,0.8107,19.74,
I265_q10_rec,16,1.7397,91.52,67484,2.0594,7.77,
I265_q30_rec,16,4.1502,83.97,38935,1.1882,13.47,
I265_q60_rec,16,7.0344,79.38,26425,0.8064,19.84,
I266_q10_rec,16,1.7373,91.53,66676,2.0348,7.86,
I266_q30_rec,16,4.106,84.06,37917,1.1571,13.83,
I266_q60_rec,16,6.9713,79.46,25736,0.7854,20.37,
I267_q10_rec,16,1.7236,91.6,65396,1.9957,8.02,
I267_q30_rec,16,4.0924,84.09,37300,1.1383,14.06,
I267_q60_rec,16,6.91,79.54,25193,0.7688,20.81,
I268_q10_rec,16,1.7148,91.65,64038,1.9543,8.19,
I268_q30_rec,16,4.03,84.22,36200,1.1047,14.48,
I268_q60_rec,16,6.8205,79.65,24568,0.7498,21.34,
I269_q10_rec,16,1.7035,91.7,63440,1.936,8.26,
I269_q30_rec,16,4.0216,84.24,35783,1.092,14.65,
I269_q60_rec,16,6.7784,79.71,24277,0.7409,21.6,
I26_q10_rec,16,922.5057,37.03,82783,2.5263,6.33,
I26_q30_rec,16,922.5139,37.03,47420,1.4471,11.06,
I26_q60_rec,16,922.5316,37.03,34009,1.0379,15.42,
I270_q10_rec,16,1.7028,91.71,62482,1.9068,8.39,
I270_q30_rec,16,4.0006,84.29,35209,1.0745,14.89,
I270_q60_rec,16,6.7496,79.74,23683,0.7227,22.14,
I271_q10_rec,16,1.6943,91.75,61716,1.8834,8.5,
I271_q30_rec,16,3.9675,84.36,34714,1.0594,15.1,
I271_q60_rec,16,6.7159,79.79,23493,0.7169,22.32,
I272_q10_rec,16,1.6854,91.8,60792,1.8552,8.62,
I272_q30_rec,16,3.9421,84.41,34151,1.0422,15.35,
I272_q60_rec,16,6.6359,79.89,23003,0.702,22.79,
I273_q10_rec,16,1.6843,91.8,59577,1.8181,8.8,
I273_q30_rec,16,3.9277,84.45,33158,1.0119,15.81,
I273_q60_rec,16,6.5506,80.0,22057,0.6731,23.77,
I274_q10_rec,16,1.6667,91.89,58630,1.7892,8.94,
I274_q30_rec,16,3.8834,84.55,32394,0.9886,16.18,
I274_q60_rec,16,6.4957,80.08,21607,0.6594,24.26,
I275_q10_rec,16,1.6686,91.88,58129,1.774,9.02,
I275_q30_rec,16,3.8707,84.57,32145,0.981,16.31,
I275_q60_rec,16,6.4386,80.15,21573,0.6584,24.3,
I276_q10_rec,16,1.6648,91.9,58084,1.7726,9.03,
I276_q30_rec,16,3.8508,84.62,31992,0.9763,16.39,
I276_q60_rec,16,6.429,80.17,21461,0.6549,24.43,
I277_q10_rec,16,1.6586,91.93,57765,1.7628,9.08,
I277_q30_rec,16,3.8378,84.65,31918,0.9741,16.43,
I277_q60_rec,16,6.4864,80.09,21417,0.6536,24.48,
I278_q10_rec,16,1.6572,91.94,56489,1.7239,9.28,
I278_q30_rec,16,3.8195,84.69,30954,0.9446,16.94,
I278_q60_rec,16,6.3803,80.23,20617,0.6292,25.43,
I279_q10_rec,16,1.6483,91.99,56157,1.7138,9.34,
I279_q30_rec,16,3.7998,84.73,30671,0.936,17.09,
I279_q60_rec,16,6.3206,80.31,20548,0.6271,25.52,
I27_q10_rec,16,922.5056,37.03,82285,2.5111,6.37,
I27_q30_rec,16,922.5139,37.03,47558,1.4514,11.02,
I27_q60_rec,16,922.532,37.03,34130,1.0416,15.36,
I280_q10_rec,16,1.6417,92.02,56129,1.7129,9.34,
I280_q30_rec,16,3.7933,84.75,30749,0.9384,17.05,
I280_q60_rec,16,6.358,80.26,20633,0.6297,25.41,
I281_q10_rec,16,1.641,92.03,56638,1.7285,9.26,
I281_q30_rec,16,3.7902,84.76,31308,0.9554,16.75,
I281_q60_rec,16,6.3528,80.27,20884,0.6373,25.1,
I282_q10_rec,16,1.6347,92.06,56355,1.7198,9.3,
